CONTRIBUTORS,"revtor,IcemanBHE,joako,lolo,rdl,StefanL,rondo,LPCapital"
LASTMODIFIED,20141115

0,0
0.35,0.35
0.5,0.5
0.50,0.50
0.65,0.65
0.7_sekunden,0.7 seconds
0.80,0.80
0.8_sekunden,0.8 seconds
0.9_l/min,0.9 liters per minute
0.9_sekunden,0.9 seconds
000_ms,0 milliseconds
00_prozent,0%
02_sec,2 seconds
04_sec,4 seconds
04bh,"Check control notification ""Trailer tow bar electrics!"""
05_min,5 minutes
0_004nms/grad,
0_005nms/grad,
0_1sec,
0_35,
0_50,
0_5sec,
0_65,
0_80,
0_km,0 kilometers
0_km/h_japan,0 kilometers per hour (Japan)
0_liter,0 liters
0_mal,0 times
0_min,0 minutes
0_minuten,0 minutes
0_ms,0 milliseconds
0_rpm,0 revolutions per minute
0_sec,0 seconds
0_sek,0 seconds
0_sekunden,0 seconds
0_tage,0 days
0_unberechtigte_zugriffe,0 unjustified requests
0_wandler,0 transducers
0min,0 minutes
0ms,0 milliseconds
0nms/grad,
0s,0 seconds
0sec,0 seconds
1,1
1-zylinder,1-cylinder
1.0_sekunden,1.0 seconds
1.1_l/sec,1.1 liter per second
1.1_sekunden,1.1 seconds
1.2_sekunden,1.2 seconds
1.3,1.3
1.3_sekunden,1.3 seconds
1.47_hz,1.47 hertz
1.4_diesel,
1.4_diesel_sa988,
1.4_l/min,1.4 liter per minute
1.4_mini,
1.4_sekunden,1.4 seconds
1.5_l/min,1.5 liters per minute
1.6_cooper,
1.6_cooper_auto,
1.6_cooper_cabr,
1.6_cooper_cabr_auto,
1.6_cooper_s,
1.6_cooper_s_auto,
1.6_cooper_s_cabr,
1.6_cooper_s_cabr_auto,
1.6_mini,
1.6_mini_auto,
1.6_mini_cabr,
1.6_sec,1.6 seconds
1.8_l/min,1.8 liters per minute
1.9_l/min,1.9 liters per minute
1.wert_schwelle,First value threshold
10.5_volt,10.5 volts
100%,100%
100.000_km,100000 kilometers
10000_mv,10000 millivolts
1000_km,1000 kilometers
1000_ms,1000 milliseconds
1000_rpm,1000 revolutions per minute
1000ms,1000 milliseconds
100_liter,100 liters
100_ms,100 milliseconds
100_msec,100 milliseconds
100_prozent,100%
100_sec,100 seconds
100ms,100 milliseconds
102_l_stahl,102 liters steel
10500_mv,10500 millivolts
1050_ohm,1050 ohms
105a,
10_amp,10 amperes
10_days,10 days
10_kmh,10 kilometers per hour
10_l,10 liters
10_liter,10 liters
10_mal,10 times
10_milliampere,10 milliamperes
10_min,10 minutes
10_proz_absenken,Decrease 10%
10_proz_anheben,Increase 10%
10_sec,10 seconds
10_sek,10 seconds
10_sekunden,10 seconds
10_tage,10 days
10_volt,10 volts
10_wandler,10 transducers
10_wecker,10 alarmclocks
10_zylinder,10-cylinder
10ms,10 milliseconds
10s,10 seconds
10sec,10 seconds
11.000_km,11000 kilometers
11.5_volt,11.5 volts
11000_mv,11000 millivolts
1100_ms,1100 milliseconds
110ah,110 ampere-hours
1150_ohm,1150 ohms
115kw,115 kilowatts
11_mal,11 times
11_min,11 minutes
12.000_km,12000 kilometers
12.5_volt,12.5 volts
1204_hifi_mulf_r56,
1204_stereo_mulf_r56,
120_grad,120 degrees
120_km/h,120 kilometers per hour
120a,
120km/h,120 kilometers per hour
121_grad_celsius,121 °C (250 °F)
125_grad_celsius,125 °C (257 °F)
127_grad_celsius,127 °C (261 °F)
12_km/h,12 kilometers per hour
12_l,12 liters
12_mal,12 times
12_s,12 seconds
12_stunden,12 hours (AM/PM)
12_volt,12 volts
12_wandler,12 transducers
12_zylinder,12-cylinder
12_zylinder_benziner,12-cylinder gasoline
12db,12 decibels
12h,12 hours
12s,12 seconds
1300_ms,1300 milliseconds
1300ms,1300 milliseconds
130_grad_celsius,130 °C (266 °F)
13_liter,13 liters
13_mal,13 times
13_volt,13 volts
13l_tank_k25_hp,
13l_tank_k25hp,
140_00,
140_01,
140_04,
140_07,
140_08,
140_09,
140_10,
140_16,
140_mph_ece,150 miles per hour (Europe)
146_ms,
14_l,14 liters
14_mal,14 times
14s,14 seconds
15%,15%
15.000_km,15000 kilometers
15.500_mls,15500 miles
15.5_liter,15.5 liters
150,150
15000_rpm,15000 revolutions per second
1500_ms,1500 milliseconds
1500ms,1500 milliseconds
150_00,
150_06,
150_07,
150_mph,150 miles per hour
150_mph_ece/us,150 miles per hour (Europe / USA)
150_ms,150 milliseconds
155_mph,155 miles per hour
155_mph_acc_e38,155 miles per hour E38 (7 Series) with active cruise control (ACC)
155_mph_e38,155 miles per hour E38 (7 Series)
155_mph_e39,155 miles per hour E39 (5 Series)
15_4_l,
15_grad,15 degrees
15_l,15 liters
15_liter,15 liters
15_mal,15 times
15_min,15 minutes
15_minuten,15 minutes
15_sekunden,15 seconds
15s,15 seconds
15sec,15 seconds
16.5_liter,16.5 liters
160_00,
160_mph_ece/us,160 miles per hour (Europe / USA)
1650_ohm,1650 ohms
